id,income,slik_ojk,total_debt,total_credit,total_monthly_debt,loan_amount,property_value,loan_purpose,employment_status,job_tenure,home_ownership,marital_status,late_payment_risk
29,8.6,4,301000000,8190476,3440000,602000000,860000000,Modal Kerja/Usaha,permanent,30,milik sendiri,menikah,rendah
972,83.5,1,5845000000,79523810,33400000,7515000000,8350000000,Modal Kerja/Usaha,harian,42,tinggal bersama ortu,lajang,tinggi
38,9.8,5,343000000,9333333,3920000,686000000,980000000,KPR,permanent,42,milik sendiri,menikah,rendah
113,7.5,2,525000000,7142857,3000000,675000000,750000000,KPR,kontrak,48,sewa/kontrak,menikah,sedang
782,9.7,3,485000000,9238095,3880000,582000000,970000000,KPR,kontrak,54,sewa/kontrak,menikah,sedang
4,11.3,5,395500000,10761905,4520000,791000000,1130000000,Kredit Kendaraan,permanent,48,milik sendiri,menikah,rendah
707,9.3,4,325500000,8857143,3720000,651000000,930000000,Kredit Kendaraan,permanent,36,milik sendiri,menikah,rendah
102,8.9,3,623000000,8476190,3560000,801000000,890000000,Kredit Kendaraan,kontrak,60,sewa/kontrak,lajang,sedang
273,2.7,2,189000000,2571429,1080000,243000000,270000000,Modal Kerja/Usaha,harian,6,tinggal bersama ortu,menikah,tinggi
86,9.7,3,679000000,9238095,3880000,873000000,970000000,KPR,kontrak,66,sewa/kontrak,menikah,sedang
495,26.3,1,1841000000,25047619,10520000,2367000000,2630000000,KPR,harian,30,tinggal bersama ortu,menikah,tinggi
548,10.3,5,360500000,9809524,4120000,721000000,1030000000,KPR,permanent,48,milik sendiri,menikah,rendah
296,5.0,2,350000000,4761905,2000000,450000000,500000000,Kredit Kendaraan,harian,12,tinggal bersama ortu,lajang,tinggi
526,9.4,5,329000000,8952381,3760000,658000000,940000000,KPR,permanent,36,milik sendiri,menikah,rendah
874,34.7,1,2429000000,33047619,13880000,3123000000,3470000000,KPR,harian,42,tinggal bersama ortu,lajang,tinggi
348,11.0,4,385000000,10476190,4400000,770000000,1100000000,Kredit Kendaraan,permanent,54,milik sendiri,menikah,rendah
20,19.8,5,693000000,18857143,7920000,1386000000,1980000000,KPR,permanent,90,milik sendiri,menikah,rendah
736,14.7,4,514500000,14000000,5880000,1029000000,1470000000,Modal Kerja/Usaha,permanent,78,milik sendiri,menikah,rendah
875,35.2,1,2464000000,33523810,14080000,3168000000,3520000000,Kredit Kendaraan,harian,48,tinggal bersama ortu,menikah,tinggi
386,8.2,3,410000000,7809524,3280000,492000000,820000000,Kredit Kendaraan,kontrak,42,sewa/kontrak,lajang,sedang
519,16.5,4,577500000,15714286,6600000,1155000000,1650000000,Kredit Kendaraan,permanent,78,milik sendiri,menikah,rendah
303,9.8,5,343000000,9333333,3920000,686000000,980000000,KPR,permanent,42,milik sendiri,menikah,rendah
988,91.5,1,6405000000,87142857,36600000,8235000000,9150000000,KPR,harian,42,tinggal bersama ortu,lajang,tinggi
301,11.4,5,399000000,10857143,4560000,798000000,1140000000,Kredit Kendaraan,permanent,54,milik sendiri,menikah,rendah
891,43.2,1,3024000000,41142857,17280000,3888000000,4320000000,Modal Kerja/Usaha,harian,48,tinggal bersama ortu,menikah,tinggi
120,8.4,3,588000000,8000000,3360000,756000000,840000000,Kredit Kendaraan,kontrak,60,sewa/kontrak,lajang,sedang
350,9.5,4,332500000,9047619,3800000,665000000,950000000,Modal Kerja/Usaha,permanent,42,milik sendiri,menikah,rendah
771,13.4,3,670000000,12761905,5360000,804000000,1340000000,Kredit Kendaraan,kontrak,72,sewa/kontrak,lajang,sedang
315,9.3,4,325500000,8857143,3720000,651000000,930000000,Kredit Kendaraan,permanent,36,milik sendiri,menikah,rendah
379,8.0,3,400000000,7619048,3200000,480000000,800000000,KPR,kontrak,36,sewa/kontrak,menikah,sedang
716,11.0,4,385000000,10476190,4400000,770000000,1100000000,KPR,permanent,54,milik sendiri,menikah,rendah
528,8.3,5,290500000,7904762,3320000,581000000,830000000,Kredit Kendaraan,permanent,24,milik sendiri,menikah,rendah
205,2.3,1,195500000,2190476,920000,207000000,230000000,KPR,harian,24,tinggal bersama ortu,menikah,tinggi
731,8.8,4,308000000,8380952,3520000,616000000,880000000,Modal Kerja/Usaha,permanent,36,milik sendiri,menikah,rendah
673,32.5,1,2275000000,30952381,13000000,2925000000,3250000000,Modal Kerja/Usaha,harian,36,tinggal bersama ortu,menikah,tinggi
872,33.7,1,2359000000,32095238,13480000,3033000000,3370000000,Kredit Kendaraan,harian,42,tinggal bersama ortu,lajang,tinggi
706,10.0,5,350000000,9523810,4000000,700000000,1000000000,Modal Kerja/Usaha,permanent,42,milik sendiri,menikah,rendah
862,28.7,1,2009000000,27333333,11480000,2583000000,2870000000,KPR,harian,42,tinggal bersama ortu,lajang,tinggi
27,10.1,4,353500000,9619048,4040000,707000000,1010000000,Kredit Kendaraan,permanent,42,milik sendiri,menikah,rendah
57,6.7,2,469000000,6380952,2680000,603000000,670000000,Kredit Kendaraan,kontrak,30,sewa/kontrak,lajang,sedang
594,16.5,2,825000000,15714286,6600000,990000000,1650000000,Kredit Kendaraan,kontrak,90,sewa/kontrak,lajang,sedang
764,12.8,3,640000000,12190476,5120000,768000000,1280000000,KPR,kontrak,66,sewa/kontrak,menikah,sedang
43,15.4,4,539000000,14666667,6160000,1078000000,1540000000,Modal Kerja/Usaha,permanent,78,milik sendiri,menikah,rendah
539,8.7,5,304500000,8285714,3480000,609000000,870000000,Kredit Kendaraan,permanent,30,milik sendiri,menikah,rendah
311,12.7,4,444500000,12095238,5080000,889000000,1270000000,Modal Kerja/Usaha,permanent,60,milik sendiri,menikah,rendah
605,2.6,1,182000000,2476190,1040000,234000000,260000000,KPR,harian,18,tinggal bersama ortu,lajang,tinggi
674,33.0,1,2310000000,31428571,13200000,2970000000,3300000000,KPR,harian,30,tinggal bersama ortu,lajang,tinggi
962,78.5,1,5495000000,74761905,31400000,7065000000,7850000000,Kredit Kendaraan,harian,42,tinggal bersama ortu,lajang,tinggi
637,14.5,1,1015000000,13809524,5800000,1305000000,1450000000,Modal Kerja/Usaha,harian,36,tinggal bersama ortu,menikah,tinggi
840,17.7,1,1239000000,16857143,7080000,1593000000,1770000000,Modal Kerja/Usaha,harian,42,tinggal bersama ortu,lajang,tinggi
501,12.4,4,434000000,11809524,4960000,868000000,1240000000,Kredit Kendaraan,permanent,54,milik sendiri,menikah,rendah
528,8.3,5,290500000,7904762,3320000,581000000,830000000,Kredit Kendaraan,permanent,24,milik sendiri,menikah,rendah
77,7.8,2,546000000,7428571,3120000,702000000,780000000,KPR,kontrak,48,sewa/kontrak,menikah,sedang
607,1.6,1,112000000,1523810,640000,144000000,160000000,Modal Kerja/Usaha,harian,24,tinggal bersama ortu,lajang,tinggi
266,2.0,2,140000000,1904762,800000,180000000,200000000,Kredit Kendaraan,harian,12,tinggal bersama ortu,lajang,tinggi
844,19.7,1,1379000000,18761905,7880000,1773000000,1970000000,KPR,harian,42,tinggal bersama ortu,lajang,tinggi
192,7.2,1,612000000,6857143,2880000,648000000,720000000,Modal Kerja/Usaha,harian,42,tinggal bersama ortu,lajang,tinggi
311,12.7,4,444500000,12095238,5080000,889000000,1270000000,Modal Kerja/Usaha,permanent,60,milik sendiri,menikah,rendah
772,12.2,2,610000000,11619048,4880000,732000000,1220000000,Modal Kerja/Usaha,kontrak,66,sewa/kontrak,menikah,sedang
398,10.8,3,540000000,10285714,4320000,648000000,1080000000,Kredit Kendaraan,kontrak,66,sewa/kontrak,lajang,sedang
882,38.7,1,2709000000,36857143,15480000,3483000000,3870000000,Modal Kerja/Usaha,harian,42,tinggal bersama ortu,lajang,tinggi
679,35.5,1,2485000000,33809524,14200000,3195000000,3550000000,Modal Kerja/Usaha,harian,36,tinggal bersama ortu,menikah,tinggi
13,13.4,4,469000000,12761905,5360000,938000000,1340000000,Modal Kerja/Usaha,permanent,60,milik sendiri,menikah,rendah
550,9.0,5,315000000,8571429,3600000,630000000,900000000,Kredit Kendaraan,permanent,36,milik sendiri,menikah,rendah
876,35.7,1,2499000000,34000000,14280000,3213000000,3570000000,Modal Kerja/Usaha,harian,42,tinggal bersama ortu,lajang,tinggi
161,4.6,1,391000000,4380952,1840000,414000000,460000000,Kredit Kendaraan,harian,24,tinggal bersama ortu,menikah,tinggi
336,11.3,5,395500000,10761905,4520000,791000000,1130000000,Modal Kerja/Usaha,permanent,54,milik sendiri,menikah,rendah
380,14.6,3,657000000,13904762,5840000,876000000,1460000000,Kredit Kendaraan,kontrak,78,sewa/kontrak,lajang,sedang
603,3.6,1,252000000,3428571,1440000,324000000,360000000,Kredit Kendaraan,harian,30,tinggal bersama ortu,lajang,tinggi
382,12.0,3,600000000,11428571,4800000,720000000,1200000000,KPR,kontrak,66,sewa/kontrak,menikah,sedang
13,13.4,4,469000000,12761905,5360000,938000000,1340000000,Modal Kerja/Usaha,permanent,60,milik sendiri,menikah,rendah
963,79.0,1,5530000000,75238095,31600000,7110000000,7900000000,Modal Kerja/Usaha,harian,48,tinggal bersama ortu,menikah,tinggi
782,9.7,3,485000000,9238095,3880000,582000000,970000000,KPR,kontrak,54,sewa/kontrak,menikah,sedang
157,5.9,1,501500000,5619048,2360000,531000000,590000000,KPR,harian,36,tinggal bersama ortu,menikah,tinggi
27,10.1,4,353500000,9619048,4040000,707000000,1010000000,Kredit Kendaraan,permanent,42,milik sendiri,menikah,rendah
733,20.1,5,703500000,19142857,8040000,1407000000,2010000000,KPR,permanent,102,milik sendiri,menikah,rendah
567,12.9,3,645000000,12285714,5160000,774000000,1290000000,Kredit Kendaraan,kontrak,60,sewa/kontrak,lajang,sedang
804,4.2,1,294000000,4000000,1680000,378000000,420000000,Modal Kerja/Usaha,harian,36,tinggal bersama ortu,menikah,tinggi
78,8.8,3,616000000,8380952,3520000,792000000,880000000,Kredit Kendaraan,kontrak,60,sewa/kontrak,lajang,sedang
174,5.9,1,501500000,5619048,2360000,531000000,590000000,Modal Kerja/Usaha,harian,42,tinggal bersama ortu,lajang,tinggi
788,11.1,2,555000000,10571429,4440000,666000000,1110000000,KPR,kontrak,66,sewa/kontrak,menikah,sedang
592,10.1,3,505000000,9619048,4040000,606000000,1010000000,Modal Kerja/Usaha,kontrak,54,sewa/kontrak,menikah,sedang
763,14.1,2,705000000,13428571,5640000,846000000,1410000000,Modal Kerja/Usaha,kontrak,72,sewa/kontrak,menikah,sedang
76,8.6,3,602000000,8190476,3440000,774000000,860000000,Modal Kerja/Usaha,kontrak,54,sewa/kontrak,menikah,sedang
393,8.7,3,435000000,8285714,3480000,522000000,870000000,Modal Kerja/Usaha,kontrak,48,sewa/kontrak,menikah,sedang
974,84.5,1,5915000000,80476190,33800000,7605000000,8450000000,Kredit Kendaraan,harian,42,tinggal bersama ortu,lajang,tinggi
311,12.7,4,444500000,12095238,5080000,889000000,1270000000,Modal Kerja/Usaha,permanent,60,milik sendiri,menikah,rendah
117,6.3,2,441000000,6000000,2520000,567000000,630000000,Kredit Kendaraan,kontrak,36,sewa/kontrak,lajang,sedang
537,9.9,5,346500000,9428571,3960000,693000000,990000000,KPR,permanent,42,milik sendiri,menikah,rendah
706,10.0,5,350000000,9523810,4000000,700000000,1000000000,Modal Kerja/Usaha,permanent,42,milik sendiri,menikah,rendah
564,8.5,3,425000000,8095238,3400000,510000000,850000000,Kredit Kendaraan,kontrak,30,sewa/kontrak,lajang,sedang
844,19.7,1,1379000000,18761905,7880000,1773000000,1970000000,KPR,harian,42,tinggal bersama ortu,lajang,tinggi
854,24.7,1,1729000000,23523810,9880000,2223000000,2470000000,Kredit Kendaraan,harian,42,tinggal bersama ortu,lajang,tinggi
708,8.7,5,304500000,8285714,3480000,609000000,870000000,KPR,permanent,30,milik sendiri,menikah,rendah
152,6.1,1,518500000,5809524,2440000,549000000,610000000,Kredit Kendaraan,harian,30,tinggal bersama ortu,lajang,tinggi
525,10.0,4,350000000,9523810,4000000,700000000,1000000000,Kredit Kendaraan,permanent,42,milik sendiri,menikah,rendah
269,2.3,2,161000000,2190476,920000,207000000,230000000,Kredit Kendaraan,harian,12,tinggal bersama ortu,menikah,tinggi
315,9.3,4,325500000,8857143,3720000,651000000,930000000,Kredit Kendaraan,permanent,36,milik sendiri,menikah,rendah
487,23.9,1,1673000000,22761905,9560000,2151000000,2390000000,Kredit Kendaraan,harian,30,tinggal bersama ortu,menikah,tinggi
793,13.9,2,695000000,13238095,5560000,834000000,1390000000,Modal Kerja/Usaha,kontrak,84,sewa/kontrak,menikah,sedang
317,8.1,4,283500000,7714286,3240000,567000000,810000000,Modal Kerja/Usaha,permanent,24,milik sendiri,menikah,rendah
433,7.7,1,539000000,7333333,3080000,693000000,770000000,Kredit Kendaraan,harian,30,tinggal bersama ortu,menikah,tinggi
679,35.5,1,2485000000,33809524,14200000,3195000000,3550000000,Modal Kerja/Usaha,harian,36,tinggal bersama ortu,menikah,tinggi
552,12.9,2,645000000,12285714,5160000,774000000,1290000000,Kredit Kendaraan,kontrak,54,sewa/kontrak,lajang,sedang
527,8.8,4,308000000,8380952,3520000,616000000,880000000,Modal Kerja/Usaha,permanent,30,milik sendiri,menikah,rendah
303,9.8,5,343000000,9333333,3920000,686000000,980000000,KPR,permanent,42,milik sendiri,menikah,rendah
104,9.6,3,672000000,9142857,3840000,816000000,960000000,KPR,kontrak,66,sewa/kontrak,menikah,sedang
581,14.0,3,700000000,13333333,5600000,840000000,1400000000,KPR,kontrak,72,sewa/kontrak,menikah,sedang
582,12.8,2,640000000,12190476,5120000,768000000,1280000000,Kredit Kendaraan,kontrak,66,sewa/kontrak,lajang,sedang
573,14.8,2,740000000,14095238,5920000,888000000,1480000000,Kredit Kendaraan,kontrak,72,sewa/kontrak,lajang,sedang
222,8.7,1,739500000,8285714,3480000,783000000,870000000,Modal Kerja/Usaha,harian,42,tinggal bersama ortu,lajang,tinggi
562,10.2,3,510000000,9714286,4080000,612000000,1020000000,Modal Kerja/Usaha,kontrak,42,sewa/kontrak,menikah,sedang
652,22.0,1,1540000000,20952381,8800000,1980000000,2200000000,Modal Kerja/Usaha,harian,30,tinggal bersama ortu,lajang,tinggi
589,13.3,2,665000000,12666667,5320000,798000000,1330000000,Modal Kerja/Usaha,kontrak,72,sewa/kontrak,menikah,sedang
44,14.0,5,490000000,13333333,5600000,980000000,1400000000,Kredit Kendaraan,permanent,72,milik sendiri,menikah,rendah
777,15.4,2,770000000,14666667,6160000,924000000,1540000000,Kredit Kendaraan,kontrak,84,sewa/kontrak,lajang,sedang
58,8.4,3,588000000,8000000,3360000,756000000,840000000,Modal Kerja/Usaha,kontrak,48,sewa/kontrak,menikah,sedang
312,11.6,5,406000000,11047619,4640000,812000000,1160000000,Kredit Kendaraan,permanent,54,milik sendiri,menikah,rendah
586,17.5,3,787500000,16666667,7000000,1050000000,1750000000,Modal Kerja/Usaha,kontrak,90,sewa/kontrak,menikah,sedang
974,84.5,1,5915000000,80476190,33800000,7605000000,8450000000,Kredit Kendaraan,harian,42,tinggal bersama ortu,lajang,tinggi
528,8.3,5,290500000,7904762,3320000,581000000,830000000,Kredit Kendaraan,permanent,24,milik sendiri,menikah,rendah
333,14.5,4,507500000,13809524,5800000,1015000000,1450000000,Modal Kerja/Usaha,permanent,72,milik sendiri,menikah,rendah
736,14.7,4,514500000,14000000,5880000,1029000000,1470000000,Modal Kerja/Usaha,permanent,78,milik sendiri,menikah,rendah
986,90.5,1,6335000000,86190476,36200000,8145000000,9050000000,Kredit Kendaraan,harian,42,tinggal bersama ortu,lajang,tinggi
442,10.4,1,728000000,9904762,4160000,936000000,1040000000,Kredit Kendaraan,harian,24,tinggal bersama ortu,lajang,tinggi
165,4.3,1,365500000,4095238,1720000,387000000,430000000,Modal Kerja/Usaha,harian,24,tinggal bersama ortu,menikah,tinggi
527,8.8,4,308000000,8380952,3520000,616000000,880000000,Modal Kerja/Usaha,permanent,30,milik sendiri,menikah,rendah
313,10.8,4,378000000,10285714,4320000,756000000,1080000000,KPR,permanent,48,milik sendiri,menikah,rendah
405,1.7,1,119000000,1619048,680000,153000000,170000000,KPR,harian,12,tinggal bersama ortu,lajang,tinggi
279,3.3,2,231000000,3142857,1320000,297000000,330000000,Modal Kerja/Usaha,harian,6,tinggal bersama ortu,menikah,tinggi
691,41.5,1,2905000000,39523810,16600000,3735000000,4150000000,Modal Kerja/Usaha,harian,36,tinggal bersama ortu,menikah,tinggi
14,12.2,5,427000000,11619048,4880000,854000000,1220000000,Kredit Kendaraan,permanent,54,milik sendiri,menikah,rendah
753,9.6,4,336000000,9142857,3840000,672000000,960000000,Modal Kerja/Usaha,permanent,48,milik sendiri,menikah,rendah
525,10.0,4,350000000,9523810,4000000,700000000,1000000000,Kredit Kendaraan,permanent,42,milik sendiri,menikah,rendah
225,1.3,1,110500000,1238095,520000,117000000,130000000,Modal Kerja/Usaha,harian,24,tinggal bersama ortu,menikah,tinggi
76,8.6,3,602000000,8190476,3440000,774000000,860000000,Modal Kerja/Usaha,kontrak,54,sewa/kontrak,menikah,sedang
77,7.8,2,546000000,7428571,3120000,702000000,780000000,KPR,kontrak,48,sewa/kontrak,menikah,sedang
820,7.7,1,539000000,7333333,3080000,693000000,770000000,KPR,harian,42,tinggal bersama ortu,lajang,tinggi
541,18.6,4,651000000,17714286,7440000,1302000000,1860000000,Kredit Kendaraan,permanent,90,milik sendiri,menikah,rendah
147,6.3,2,441000000,6000000,2520000,567000000,630000000,Kredit Kendaraan,kontrak,36,sewa/kontrak,lajang,sedang
372,7.6,3,380000000,7238095,3040000,456000000,760000000,Modal Kerja/Usaha,kontrak,30,sewa/kontrak,menikah,sedang
141,6.4,2,448000000,6095238,2560000,576000000,640000000,Kredit Kendaraan,kontrak,36,sewa/kontrak,lajang,sedang
898,46.7,1,3269000000,44476190,18680000,4203000000,4670000000,KPR,harian,42,tinggal bersama ortu,lajang,tinggi
44,14.0,5,490000000,13333333,5600000,980000000,1400000000,Kredit Kendaraan,permanent,72,milik sendiri,menikah,rendah
820,7.7,1,539000000,7333333,3080000,693000000,770000000,KPR,harian,42,tinggal bersama ortu,lajang,tinggi
38,9.8,5,343000000,9333333,3920000,686000000,980000000,KPR,permanent,42,milik sendiri,menikah,rendah
315,9.3,4,325500000,8857143,3720000,651000000,930000000,Kredit Kendaraan,permanent,36,milik sendiri,menikah,rendah
220,8.6,1,731000000,8190476,3440000,774000000,860000000,KPR,harian,36,tinggal bersama ortu,lajang,tinggi
4,11.3,5,395500000,10761905,4520000,791000000,1130000000,Kredit Kendaraan,permanent,48,milik sendiri,menikah,rendah
354,10.0,3,500000000,9523810,4000000,600000000,1000000000,Modal Kerja/Usaha,kontrak,42,sewa/kontrak,menikah,sedang
342,18.6,4,651000000,17714286,7440000,1302000000,1860000000,Kredit Kendaraan,permanent,90,milik sendiri,menikah,rendah
931,63.0,1,4410000000,60000000,25200000,5670000000,6300000000,KPR,harian,48,tinggal bersama ortu,menikah,tinggi
79,7.0,2,490000000,6666667,2800000,630000000,700000000,Modal Kerja/Usaha,kontrak,42,sewa/kontrak,menikah,sedang
526,9.4,5,329000000,8952381,3760000,658000000,940000000,KPR,permanent,36,milik sendiri,menikah,rendah
513,10.6,4,371000000,10095238,4240000,742000000,1060000000,KPR,permanent,48,milik sendiri,menikah,rendah
721,7.8,5,273000000,7428571,3120000,546000000,780000000,Kredit Kendaraan,permanent,24,milik sendiri,menikah,rendah
574,13.5,3,675000000,12857143,5400000,810000000,1350000000,Modal Kerja/Usaha,kontrak,66,sewa/kontrak,menikah,sedang
79,7.0,2,490000000,6666667,2800000,630000000,700000000,Modal Kerja/Usaha,kontrak,42,sewa/kontrak,menikah,sedang
186,6.9,1,586500000,6571429,2760000,621000000,690000000,Modal Kerja/Usaha,harian,42,tinggal bersama ortu,lajang,tinggi
733,20.1,5,703500000,19142857,8040000,1407000000,2010000000,KPR,permanent,102,milik sendiri,menikah,rendah
590,12.2,3,610000000,11619048,4880000,732000000,1220000000,KPR,kontrak,66,sewa/kontrak,menikah,sedang
487,23.9,1,1673000000,22761905,9560000,2151000000,2390000000,Kredit Kendaraan,harian,30,tinggal bersama ortu,menikah,tinggi
549,9.6,4,336000000,9142857,3840000,672000000,960000000,Modal Kerja/Usaha,permanent,42,milik sendiri,menikah,rendah
165,4.3,1,365500000,4095238,1720000,387000000,430000000,Modal Kerja/Usaha,harian,24,tinggal bersama ortu,menikah,tinggi
510,13.7,5,479500000,13047619,5480000,959000000,1370000000,KPR,permanent,66,milik sendiri,menikah,rendah
173,3.9,1,331500000,3714286,1560000,351000000,390000000,Kredit Kendaraan,harian,24,tinggal bersama ortu,menikah,tinggi
754,9.0,5,315000000,8571429,3600000,630000000,900000000,Kredit Kendaraan,permanent,42,milik sendiri,menikah,rendah
718,9.5,4,332500000,9047619,3800000,665000000,950000000,Kredit Kendaraan,permanent,42,milik sendiri,menikah,rendah
977,86.0,1,6020000000,81904762,34400000,7740000000,8600000000,Kredit Kendaraan,harian,48,tinggal bersama ortu,menikah,tinggi
972,83.5,1,5845000000,79523810,33400000,7515000000,8350000000,Modal Kerja/Usaha,harian,42,tinggal bersama ortu,lajang,tinggi
205,2.3,1,195500000,2190476,920000,207000000,230000000,KPR,harian,24,tinggal bersama ortu,menikah,tinggi
102,8.9,3,623000000,8476190,3560000,801000000,890000000,Kredit Kendaraan,kontrak,60,sewa/kontrak,lajang,sedang
298,5.2,2,364000000,4952381,2080000,468000000,520000000,KPR,harian,18,tinggal bersama ortu,lajang,tinggi
776,16.9,3,760500000,16095238,6760000,1014000000,1690000000,KPR,kontrak,90,sewa/kontrak,menikah,sedang
448,12.2,1,854000000,11619048,4880000,1098000000,1220000000,Kredit Kendaraan,harian,24,tinggal bersama ortu,lajang,tinggi
615,2.4,2,168000000,2285714,960000,216000000,240000000,Kredit Kendaraan,harian,30,tinggal bersama ortu,lajang,tinggi
3,12.4,4,434000000,11809524,4960000,868000000,1240000000,Modal Kerja/Usaha,permanent,54,milik sendiri,menikah,rendah
821,8.2,1,574000000,7809524,3280000,738000000,820000000,Kredit Kendaraan,harian,48,tinggal bersama ortu,menikah,tinggi
138,8.6,3,602000000,8190476,3440000,774000000,860000000,Kredit Kendaraan,kontrak,60,sewa/kontrak,lajang,sedang
923,59.0,1,4130000000,56190476,23600000,5310000000,5900000000,Kredit Kendaraan,harian,48,tinggal bersama ortu,menikah,tinggi
2,13.6,5,476000000,12952381,5440000,952000000,1360000000,KPR,permanent,60,milik sendiri,menikah,rendah
